model,quantization,gpu_memory_gb,benchmark,tokens,cache_capacity,total_experts,cache_pct,predictor_ms,layer_compute_ms,transfer_ms,baseline_latency_ms,baseline_hit_rate,baseline_misses,K6_latency_ms,K6_hit_rate,K6_misses,K6_evictions,K6_total_prefetches,K6_dedup_skipped,K6_wasted_prefetches,K6_waste_rate,K6_speedup,K6_miss_reduction,K6_hit_rate_gain,K8_latency_ms,K8_hit_rate,K8_misses,K8_evictions,K8_total_prefetches,K8_dedup_skipped,K8_wasted_prefetches,K8_waste_rate,K8_speedup,K8_miss_reduction,K8_hit_rate_gain,K10_latency_ms,K10_hit_rate,K10_misses,K10_evictions,K10_total_prefetches,K10_dedup_skipped,K10_wasted_prefetches,K10_waste_rate,K10_speedup,K10_miss_reduction,K10_hit_rate_gain
mixtral_8x7b,4bit,32,gsm8k,123,256,256,1.0,0.5351059940076084,18.61379998549819,50.0,694.8285914058607,0.9690040650406504,244,621.7080807750799,0.9972052845528455,22,0,222,41838,154,0.6936936936936937,1.117612289259007,11.090909090909092,0.02820121951219512,,,,,,,,,,,,,,,,,,,,,,
mixtral_8x7b,4bit,32,mmlu,114,256,256,1.0,0.5247370055367355,22.990480977110565,50.0,842.7129351271872,0.9665570175438597,244,762.1360982517311,0.996984649122807,22,0,222,38760,155,0.6981981981981982,1.105724997228568,11.090909090909092,0.030427631578947345,,,,,,,,,,,,,,,,,,,,,,
mixtral_8x7b,4bit,32,wikitext_test,256,256,256,1.0,0.3457559973394382,44.87062999699265,50.0,1483.5164099037647,0.985107421875,244,1449.6587268186267,0.9991455078125,14,0,230,133379,161,0.7,1.0233556232641325,17.428571428571427,0.0140380859375,,,,,,,,,,,,,,,,,,,,,,
mixtral_8x7b,4bit,4,gsm8k,123,17,256,0.06640625,0.4031549979990814,42.41856702696532,50.0,4556.581136732809,0.00025406504065040653,7870,4419.888600733821,0.047002032520325206,7502,35983,28486,19440,14538,0.5103559643333567,1.0309266925814133,1.0490535857104772,0.0467479674796748,,,,,,,,,,,,,,,,,,,,,,
mixtral_8x7b,4bit,4,mmlu,114,17,256,0.06640625,0.5555399935110472,15.480034986510873,50.0,3694.483926585892,0.00027412280701754384,7294,3612.2612063782453,0.031524122807017545,7066,26213,19152,0,12798,0.668233082706767,1.0227621192128808,1.032267195018398,0.03125,,,,,,,,,,,,,,,,,,,,,,
mixtral_8x7b,4bit,4,wikitext_test,256,17,256,0.06640625,0.5617290034715552,14.155891001224518,50.0,3652.5978870391846,0.0001220703125,16382,3569.4013401502743,0.03173828125,15864,58867,43008,0,28766,0.6688523065476191,1.0233082634763082,1.0326525466464953,0.0316162109375,,,,,,,,,,,,,,,,,,,,,,
mixtral_8x7b,4bit,8,gsm8k,123,64,256,0.25,0.4066600049191038,45.76527199707925,50.0,3801.0740697601946,0.2698170731707317,5748,1696.2010110558174,0.9316565040650406,538,24751,24265,37151,16934,0.6978776014836183,2.240933736617795,10.684014869888475,0.661839430894309,,,,,,,,,,,,,,,,,,,,,,
mixtral_8x7b,4bit,8,mmlu,114,64,256,0.25,0.37773099785408704,45.86516593489796,50.0,3816.3695204430505,0.2660361842105263,5355,1698.1937544796444,0.9317434210526315,498,23340,22894,33735,16099,0.7031973442823447,2.2473110093450153,10.75301204819277,0.6657072368421052,,,,,,,,,,,,,,,,,,,,,,
mixtral_8x7b,4bit,8,wikitext_test,256,64,256,0.25,0.3566580063197762,43.41616602148861,50.0,3685.6063751876354,0.28240966796875,11757,1626.3163063898683,0.92950439453125,1155,51855,50752,76774,35526,0.6999921185372006,2.266229736925545,10.17922077922078,0.6470947265625,,,,,,,,,,,,,,,,,,,,,,
mixtral_8x7b,8bit,16,gsm8k,123,64,256,0.25,0.42811400213395245,16.594441026449203,50.0,2864.7619502447483,0.2707063008130081,5741,958.5428991260432,0.8706808943089431,1018,21626,20660,4,13809,0.6683930300096805,2.988663264687174,5.639489194499018,0.5999745934959351,,,,,,,,,,,,,,,,,,,,,,
